,IGFBP1,IL12RB2,IL1R2,COL17A1,PKP1,CNV_Xq11.2,CNV_17q24.3,CNV_7q36.3,CNV_3p21.32,CNV_14q31.1,CNV_3q26.32,CNV_8p23.2,CNV_3p,CNV_1q43,CNV_Xq23,CNV_4q34.3,CNV_8q24.22,CNV_1q24.1,CNV_2q37.3,CNV_9p21.3,CNV_13q13.3,CNV_6q26,CNV_Xp22.2,CNV_1q32.1,CNV_3p25.3,CNV_5q35.1,CNV_1p36.23,CNV_1p31.1,CNV_10p14,CNV_4q32.1,CNV_10q23.31,CNV_9p23,CNV_3p12.2,CNV_3q11.2,CNV_Xp11.4
TCGA-CZ-4865,2.78,9.41,1359.57,249.73,27.25,-0.024114,-0.015604,0.0013868,-0.40374,0.13509,0.0026357,-0.4055,-0.404,0.0,-0.024114,0.0098669,0.0013868,0.0,0.010564,-0.0015243,0.00027728,-0.026304,-0.024114,0.0,-0.40374,0.01419,-0.010892,-0.010892,-0.0078863,0.0072217,-0.0078863,-0.0015243,-0.40639,0.0026357,-0.024114
TCGA-CZ-5463,6.31,860.08,15.8,0.37,18.56,-0.089434,-0.017803,-0.0015243,-0.7089,-0.72093,-0.7089,-0.73746,-0.709,0.0,-0.089434,0.012376,-0.7188,0.0,0.01419,0.004719,0.0086135,0.0039359,-0.10643,0.0,-0.7089,0.72319,0.0,0.0,-0.031632,0.012376,-0.031632,0.004719,-0.7089,-0.7089,-0.089434
TCGA-CZ-5468,158.79,4.21,54349.29,1.08,1628.26,-0.33733,0.65351,1.1484,-0.34285,-0.33768,0.65792,-0.33722,-0.343,0.0,-0.30287,-0.0034627,0.79084,0.0,-0.31786,-0.96753,-0.31552,-0.62131,0.67493,0.0,-0.34285,0.21791,-0.0010528,-0.0010528,-0.0066207,-0.0034627,-0.34481,-0.3487,-0.34285,-0.34285,0.67493
TCGA-B0-5691,14.45,7.51,65.26,6.84,23.42,0.0022197,-0.0062286,0.0013868,0.0031248,0.0019418,0.0071076,-0.00070805,0.0,0.0,0.0037465,-0.45179,0.00097064,0.0,0.0030522,-0.0012473,-0.0013858,0.0070826,0.0022197,0.0,-0.46028,0.44071,0.0,0.0,-0.0019399,-0.45179,0.0027745,-0.0012473,0.0065262,0.0081646,0.0022197
TCGA-CZ-5453,4.35,172.65,8.85,1.5,1.13,-0.078416,-0.032319,0.0055477,-0.7853,0.0,0.029742,-0.78951,-0.785,-0.0092718,-0.078416,0.02314,0.012371,-0.0092718,-0.78606,-0.016572,0.019357,0.003047,-0.088909,-0.0092718,-0.7853,0.25698,-0.0092718,-0.0092718,-0.0083056,0.02314,-0.0083056,-0.016572,-0.7853,-0.7853,-0.078416
TCGA-CZ-5988,30.56,5.82,53.57,3060.45,941.27,-0.063156,-0.020687,0.98908,-0.53073,0.0,0.0051359,-0.5289,-0.5,-0.0052734,-0.063156,0.0038854,-0.5289,-0.0037395,-0.52573,0.0066924,0.0023581,0.00087213,-0.046448,-0.0052734,-0.53073,-0.011611,-0.02384,0.0044805,-0.0018014,0.0038854,-0.0018014,0.0066924,-0.50784,0.0051359,-0.063156
TCGA-CZ-5465,11.04,81.71,28.04,6.16,42.71,-0.15388,-0.23214,0.07484,-0.79723,-0.19782,0.34323,-0.79622,-0.444,0.0,-0.15388,-0.49684,0.34954,0.0,0.068378,-0.22527,-0.20492,-0.473,-0.15388,0.0,-0.79723,0.085654,0.0,0.0,-0.54784,-0.50095,-0.54677,-0.22527,-0.7869,0.34323,-0.15388
TCGA-B0-5699,5.36,12.83,42.41,0.71,32.36,-0.036538,-0.014228,-0.033051,-0.72187,-0.0020784,0.020203,0.0,-0.712,-0.0033243,-0.036538,-0.71328,0.0,-0.0033243,-0.0086165,-0.00091716,-0.0011285,0.01433,-0.036538,-0.0033243,-0.72187,0.0062481,-0.0033243,-0.0033243,-0.0123,0.049398,-0.0123,-0.00091716,-0.71158,-0.71158,-0.036538
TCGA-CJ-5680,6.36,2.05,43.32,4.78,14.14,-0.10533,0.00055459,-0.0015243,-0.68551,-0.68688,0.0054852,-0.0012473,0.0,0.0063871,-0.10533,0.0019418,0.001803,0.0048463,0.00014575,-0.6772,0.00083195,0.023286,-0.10533,0.0063871,-0.6935,0.0029133,-0.0040984,0.0,-0.0048507,0.0019418,-0.0026322,-0.6772,0.0054852,0.0054852,-0.10533
TCGA-CZ-5467,15.91,8.78,142.01,9.48,22.59,0.0077783,-0.01409,0.0,-0.66152,-0.66383,0.01419,-0.0073339,0.0,0.0016117,0.0077783,0.0051359,-0.0073339,0.0016117,0.010006,0.00041593,0.00083195,0.0055529,0.0077783,0.0016117,-0.66152,0.64946,-0.0092666,-0.0092666,-0.012813,0.0051359,-0.022744,0.00041593,0.0083351,-0.65249,0.0077783
TCGA-CZ-4863,3.03,13.03,37.85,4.74,4.39,-0.025237,0.013743,-0.0077763,-0.10621,-0.32524,-0.10621,-0.06869,-0.106,0.0037182,-0.027367,-0.0016911,-0.06869,-0.053687,0.010053,0.016257,-0.10213,0.0,-0.025237,0.0037182,-0.10621,0.12576,-0.053687,-0.053687,-0.0040444,-0.0016911,-0.0040444,0.016257,-0.10621,-0.10621,-0.025237
TCGA-CZ-5457,2.89,5.06,18.03,4.74,1.83,-0.08297,0.0,0.35381,-0.3511,0.010982,-0.3511,-0.35909,-0.351,-0.3527,-0.082137,-0.34744,-0.35909,-0.3527,0.32576,0.37545,-0.34859,0.016565,-0.08297,-0.3527,-0.3511,0.35683,-0.3527,-0.3527,-0.35681,-0.34744,-0.35681,0.37545,-0.3511,-0.3511,-0.08297
TCGA-CW-5584,13.52,1561.89,159.9,2.43,1.73,-0.063347,-0.0043401,0.013794,-0.54404,-0.54172,0.017216,0.018475,-0.544,0.0018944,-0.061366,0.010377,0.018475,0.0018944,-0.00351,-0.22383,0.0021887,-0.54112,-0.063347,0.0018944,-0.54404,0.0053962,0.0,0.0,0.0006459,0.010377,0.0006459,-0.22383,-0.54404,0.017216,-0.063347
TCGA-CJ-5681,543.96,1.3,24.46,406.31,1.62,-0.64358,0.019503,-0.0037395,-0.85543,0.0015152,0.0043021,-0.0067813,0.0,-0.0033068,0.18614,0.00013863,0.00055459,0.0,0.0114,-0.0029091,0.0029133,0.0038854,0.31434,0.0,0.0044411,-0.00024055,0.0,0.0,-0.010094,0.00013863,-0.010094,-0.0029091,-0.84835,0.0043021,0.31434
TCGA-CW-5591,34.75,55.1,173.85,3.56,16.15,0.21004,0.0,0.44698,-0.50256,-0.0083101,0.46092,0.86195,-0.075,-0.0088526,0.21004,-0.021373,0.86195,-0.0088526,0.64983,-0.0033243,-0.033038,-0.019589,0.22581,-0.0088526,-0.50256,1.3452,0.0066653,-0.51651,-0.0096806,-0.028345,-0.011453,-0.49057,-0.4661,0.46092,0.21004
TCGA-CZ-5982,11.47,2.68,65.26,7.0,44.89,-0.064555,-0.024161,0.012886,-0.49176,-0.0028183,0.0043933,0.0,-0.492,0.037169,-0.064555,0.010934,0.0053661,0.00030049,0.0045322,-0.0062761,-0.020185,-0.48116,-0.055811,0.02902,-0.49176,0.0062002,0.00030049,0.00030049,-0.26135,0.010934,-0.26135,-0.0062761,-0.49176,0.0043933,-0.064555
TCGA-CZ-5454,7.63,2.94,140.04,6.62,4.78,0.076422,-0.010094,0.77715,-0.79549,0.0023581,0.0076392,-0.011611,0.0,-0.0025192,0.069095,-0.0018014,-0.011611,0.78543,0.0036076,0.00016427,0.001803,-0.0011087,0.067375,-0.0025192,-0.79151,0.78678,0.0012481,0.0012481,0.75777,-0.0018014,-0.0080244,0.00016427,0.0076392,0.0076392,0.065799
TCGA-CJ-5677,106.63,3.76,728.11,16.88,18.56,-0.1025,0.016845,0.51978,-0.56077,-0.54985,0.015447,-0.25817,-0.561,0.007321,-0.1025,-0.12252,0.25261,0.007321,-0.007472,-1.1065,-0.14592,0.00597,-0.089903,0.007321,-0.56077,-0.005013,0.03863,0.007321,0.0044411,-0.12252,0.0044411,-0.55387,-0.56077,0.015447,-0.1025
